Prioridade,Eixo,Processo,Atividade,Cod_Task,Tarefa,Depende de,Responsável,Prazo,Status
Alta,1 · Gestão e Participação Social,Ingestão de dados,Siconfi,E1.1.1,Fazer a ingestão da API do Siconfi,,UnB,18/09/2026,Em andamento
Alta,1 · Gestão e Participação Social,Acesso ao dado,SIOP,E1.1.2,Viabilizar o acesso ao dado do SIOP,,MinC,18/09/2026,Não iniciado
Alta,1 · Gestão e Participação Social,Ingestão de dados,SIOP,E1.1.3,Fazer a ingestão dos dados do SIOP,E1.1.2,UnB,18/09/2026,Não iniciado
Alta,1 · Gestão e Participação Social,Ingestão de dados,Enriquecimento,E1.1.4,Definir bases de enriquecimento para o eixo,,MinC + UnB,18/09/2026,Não iniciado
Alta,1 · Gestão e Participação Social,Ingestão de dados,Enriquecimento,E1.1.5,Ingestão das bases de enriquecimento,E1.1.4,UnB,18/09/2026,Não iniciado
Alta,1 · Gestão e Participação Social,Ingestão de dados,Enriquecimento,E1.1.6,Enriquecimento do datalakehouse,E1.1.5,UnB,18/09/2026,Não iniciado
Alta,1 · Gestão e Participação Social,Pipeline,Reescrita,E1.2.1,Reescrita do pipeline do repositório cultura-em-numeros-eixo-1 na arquitetura do projeto,E1.1.1; E1.1.3,UnB,não definido ainda,Não iniciado
Média,1 · Gestão e Participação Social,Pipeline,Transformação,E1.2.2,Desenvolvimento das Bronzes dos dados ingeridos,E1.2.1,UnB,não definido ainda,Não iniciado
Média,1 · Gestão e Participação Social,Pipeline,Transformação,E1.2.3,Desenvolvimento das Silvers dos dados ingeridos,E1.2.2,UnB,não definido ainda,Não iniciado
Média,1 · Gestão e Participação Social,Pipeline,Transformação,E1.2.4,Cruzamento do datalakehouse com as bases de enriquecimento,E1.1.6; E1.2.3,UnB,não definido ainda,Não iniciado
Média,1 · Gestão e Participação Social,Pipeline,Transformação,E1.2.5,Desenvolvimento das Golds dos dados ingeridos,E1.2.4,UnB,não definido ainda,Não iniciado
Média,1 · Gestão e Participação Social,Visualização,Dashboard,E1.3.1,Aplicação da visualização das Golds produzidas,E1.2.5,UnB,não definido ainda,Não iniciado
Média,1 · Gestão e Participação Social,IA,Documentação,E1.4.1,Documentação de cada etapa de transformação do padrão da camada semântica,E1.2.5,UnB,não definido ainda,Não iniciado
Alta,2 · Fomento à Cultura,Análise de dados,Exploração,E2.1.1,Análise dos dados a partir das metas definidas,,UnB,não definido ainda,Não iniciado
Alta,2 · Fomento à Cultura,Pipeline,Transformação,E2.2.1,Desenvolvimento das Bronzes dos dados ingeridos,E2.1.1,UnB,não definido ainda,Não iniciado
Alta,2 · Fomento à Cultura,Pipeline,Transformação,E2.2.2,Desenvolvimento das Silvers dos dados ingeridos,E2.2.1,UnB,não definido ainda,Não iniciado
Alta,2 · Fomento à Cultura,Pipeline,Transformação,E2.2.3,Desenvolvimento das Golds dos dados ingeridos,E2.2.2,UnB,não definido ainda,Não iniciado
Alta,2 · Fomento à Cultura,Visualização,Dashboard,E2.3.1,Aplicação da visualização das Golds produzidas,E2.2.3,UnB,não definido ainda,Não iniciado
Alta,2 · Fomento à Cultura,IA,Documentação,E2.4.1,Documentação de cada etapa de transformação do padrão da camada semântica,E2.2.3,UnB,não definido ainda,Não iniciado
Alta,2 · Fomento à Cultura,Validação,Oficina,E2.5.1,Oficina de discussão e validação do que foi produzido,E2.3.1,MinC + UnB,não definido ainda,Não iniciado
Alta,3 · Patrimônio e Memória,Definição de escopo,Discussão,E3.1.1,Definição de metas e objetivos do eixo para guiar exploração,,MinC + UnB,não definido ainda,Não iniciado
Alta,4 · Formação,Definição de escopo,Discussão,E4.1.1,Definição de metas e objetivos do eixo para guiar exploração,,MinC + UnB,não definido ainda,Não iniciado
